Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
mad  	ambivalent verb. make threatening gesture (as if to hit). Yoowooloo garndiwirrnga madmadbirraniyoo thirri gardboowoo. Two  men were threatening each other to fight. Category: impact and violence.  [TC, NC]  [McG table D glosses this as glance around at.]
madi  	bivalent verb. copy. Thangarndi jiyagoowaya madinga. He copied the way he was speaking. Category: actions.
madiny  	[ma-diny] nominal. get use to. Ngarragingga lambardi marlara jaja marlami madinygoowanmi. My little grand daughter won't get use to me. Category: motion.
magarda  	[ma-garda] nominal. hat. Category: introduced items.  [SG 114]
maj  	ambivalent verb. touch. jajiwami galyba majlimi I touched something soft.. Category: holding and transfer.  [TC, NC]
malaji  	[mala-ji] nominal. increase site. A place of special significance associated with a particular fish or game animal. Girili yoowarni warari wawanyiyoo malaji. There is this one tree standing up,  its a increase site for goanna. Category: Land.  [TC, RC]
malngirri  	[mal-ngirri] nominal. sheet lightning. sound accompanies this lightning. Category: elements.  [BC]
malwarla  	[marl-warla] nominal. hot heat. Usage: This verb is only used in the singular.. Malwarlangga thinga moorrobngina. The hot heat scorched my feet. Category: elements.
malyi  	nominal. buttock,  bottom. Category: body parts and products.  [wk]
mamayi  	[ma-mayi] nominal. flashing lightning. there is no sound, just lightning flashng in the clouds. Category: elements.  [wb, MS]
mamilgi  	[mamil-gi] nominal. sacred, secret. Category: artifacts.  [RC]
mamoo  	[ma-moo] nominal. devil, bad spirit. Category: old language.  [LC]
man.ga  	[man-ga] nominal. ears. Category: body parts and products.
mandirri  	[man-dirri] nominal. sister-in-law,  husband's sister. Category: relations.  [wb]
mandirrilangoo  	[mandirri-langoo] nominal. two sisters-in-law. Category: relations.
mandirriwa  	[man-dirri-wa] nominal. her sister-in-law. Ngoonyiya ngirndajiyoo goornboo mandirriwa.? Where is this woman's sister-in-law.? Category: relations.
mandirriwadi  	[mandirri-wadi] nominal. your sister-in-law. Ngirndaji goornboo mandiriiwadi. This woman is your sister-in-law. Category: relations.
mandirriyarrangi  	[mandirri-yarrangi] nominal. our sister-in-law. ngoonyiya ginyandi goornboo mandirriyarrangi. where is that woman our sister-in-law. Category: relations.
mangagirrabi  	[man-ga-girrabi] nominal. donkey,  having long ears. Equus asinus. Category: introduced animals.  [GW]
mangan  	[ma-ngan] verb. wave to somebody  to come over. Goornbooga manganmi ngarragi nhooyirra wardgo. The woman waved to me, to come over to her. Category: actions.  [TC]
mangaroo  	[manga-roo] nominal. feminist.
mangarri  	[ma-ngarri] particle. no not that way. Mangarri wardginggirawoo migawa! No don't go that way! Category: Language.  [FGG 166]
manggarr  	[mang-garr] ambivalent verb. stab. Goornbooga walambooya manggarrmi yoowooloo. The woman stabbed the man in the ribs... Category: impact and violence.  [TC, DS]
manggaya  	[mang-gaya] nominal. soft grass. Manggaya gajbirra thirladi bagoowoo. They cut soft grass to make a mattress for sleeping. Usage: This word is mostly used by old people.. Category: old language.  [wk]
mangoorloo  	[mangoo-rloo] nominal. flathead goby. Glossogobius giurus. Category: fish.  [RC, KLC fish poster]
maningga  	[maning-ga] adverb. night,  last night. Maningga gamba nyamani bangbani Last night it rained alot. Category: time.  [TC ET]
manoongoo  	[manoo-ngoo] nominal. general term for all antbeds. Used as places of burial; mud used to build shelters. Category: Land.  [MS, PM]
manyboo  	[many-boo] nominal. type of black cloud that brings light rain. Gooroogooroo manyboo mirnaloogoo wardgiri, yiwirndi, yilijjawani. A black cloud is coming this way, it will rain. Category: elements.  [JS, SL]
manyi  	[ma-nyi] nominal. vegetable,  food,  bread. Category: bush food.  [wk, mq]
mara  	nominal. itchy caterpillar. many taxa. Category: insects and spiders.  [wb]
maral-  	ambivalent verb. snatch. Yoowooloongga maralmi goornboo yoowooloo yaanya. The man stole the woman from another man. Category: holding and transfer.  [TC, DS]
maraljaroo  	[maral-jaroo] nominal. red-flowered kurrajong tree. Brachychiton  gregorii. Edible seeds are cooked in hot sand, then ground up. and its so nice to eat. Category: bush food.  [Glenn Whiteman]
maramara  	[mara-mara] nominal. brown fury caterpillar, found pile up at the bottom of the red river gum trees during summer. various taxa. edible. Category: insects and spiders.  [SL, RC]
maranggamarangga  	[marangga-marangga] nominal. antennae, horns. Category: animals.  [SL, JS]
marda  	nominal. cracked mud. Marda lingardbindi banda booladiyawindi. The mud cracked open as the ground dried up. Category: old language.  [wk, JS]
mardoogooroo  	[mardoo-gooroo] nominal. body decoration made from soft bird's feathers. Category: birds.  [Glenn Wightman]
marimari  	[mari-marie] nominal. children's play area, cubbyhouse, playground. Category: artifacts.  [SL, RC]
marimari-  	[mari-mari] bivalent verb. sneak up. Yoowooloongga marimaringa minaji doowooya. The man was sneaking up on an echidna in a cave. Category: motion.  [TC, DS]
marla  	nominal. hand. Category: body parts and products.  [wk]
marlami  	[marla-mi] particle. nothing, without, none. Category: describers.  [FGG 166]
marlara  	[marla-ra] nominal. from a little girl to about eighteen years old. Category: people.  [wk, mq]
marlindi  	[marl-indi] nominal. slime (on surface of water), green algae. Category: Land.
marlinyja  	[marl-iny-ja] nominal. mirage, heatwave. Category: elements.  [SL]
marliwidi  	nominal. lips. Category: body parts and products.  [wk, mq]
marlmoorr  	[marl-moorr] nominal. a small bamboo spear. Used with a small spear thrower. Category: artifacts.  [RC]
marlngarri  	[marl-ngarri] nominal. white person, non Aboriginal people. See: wajbali. Category: people.  [wb]
marlooga  	[marloo-ga] nominal. ceremonial boss. Category: people.  [mq]
marn.ba  	[marn-ba] nominal. buttocks, bum. Category: body parts and products.  [mq]
marna  	nominal. older brother,  [mother's older son].. Category: relations.  [wk, wb, mq]
marnalangoo  	[marna-langoo] nominal. two older brothers. Category: relations.
marnangoorroo  	[marna-ngoo-rroo] nominal. far far away. Wardjirri marnangoorroo yanga gawi wirrbgoo. We went so far away for fishing.
marnangoorroo  	[marna-ngoorroo] adverb. far away. See: banyangi. Category: space.
marnawa  	[marna-wa] nominal. his/her older brother. Category: relations.
marnawadi  	[marna-wadi] nominal. your older brother.. Category: relations.
marnayarrangi  	[marna-yarrangi] nominal. our older brother. Category: relations.
marndarra  	[marn-darra] nominal. no English name known. Terminalia platyphylla. This tall tree provides edible gum. Birds eat the seeds.  It grows anywhere.   The seeds are marndawijbij.  Nyarla is the old name for this tree. Category: bush food.  [wb, JD, Flora of the Kimberley Region p558, Plants of the Kimberley 238]
marndawijbij  	[marnda-wijbij] nominal. seeds of marndarra. Category: bush food.  [wb, RC]
marndi  	[marn-di] nominal. hunting boomerang. Category: artifacts.  [wb]
marni  	nominal. older  sister. Category: relations.  [mq,wb,wk]
marnilangoo  	[marni-langoo] nominal. two older sisters. Category: relations.
marniwa  	[marni-wa] nominal. his/her older sister. Category: relations.
marniwadi  	[marni-wadi] nominal. your older sister. Category: relations.
marniyarrangi  	[marni-yarra-ngi] nominal. our older sister. Category: relations.
marnjali  	[marn-jali] nominal. small rocks. The sort used in a ground oven. Category: Land.  [TC]
marooloo  	[maroo-loo] nominal. valuable item. Ngirndaji ngarragi marooloo jamayina waranggila wayandi gajgoo. This is my valuable axe I keep for cutting wood.\xe may refer to a tool that can't be loaned because it is the only one. Category: qualities.  [FGG]
maroorr  	[ma-roorr] ambivalent verb. gather up things, muster cattle, foster, bring up someone else's children. Yoowooloo yarndiga maroorwirra boorloomani. The men were mustering cattle. Category: motion.  [TC]
maroowa  	[ma-roowa] nominal. murderer, one who has murdered someone. Category: impact and violence.  [mq]
marra  	nominal. brother's wife/sisters husband.. Category: relations.
marraa  	[ma-rraa] nominal. trilling frog. Neobatrachus centralis. This large burrowing frog is edible.  It is the daughter of tharnbooloo. Category: frogs.  [JS, FGG 40, SL, wb]
marraj  	[marr-aj] monovalent verb. go past. Ginyandi yamadi ngamoomi marrajbani? That car did it already go past? Category: motion.  [TC]
marralangoo  	[marra-langoo] nominal. brother and his wife/ sister and her husband. Category: relations.
marrambaba  	[marram-ba-ba] nominal. scary one. See: yoowalala. Category: people.
marranyi  	[marra-nyi] nominal. dingo. Canis familiaris dingo. Used to be eaten. Category: dogs.  [mq]
marrara  	[marra-ra] nominal. a light in the distance of a car coming. Category: describers.
marrarlamarrarla  	[marrarla-marrarla] nominal. holes everywhere on blacksoil ground. Category: Land.  [MS]
marrawa  	[marra-wa] nominal. woman's brother's wife/man's sister's husband. goornobooyoo marrawa barnbindi roowa nhingi. the woman's husband came back from hunting. Category: relations.
marrawadi  	[marra-wadi] nominal. your wife[man's sister]  your husband [woman's brother]. Category: relations.
marrawi  	[marra-wi] nominal. peaceful dove. Geopelia striata. Marrawi warrwaya bagiri. The peaceful dove is found in spinifex. Category: birds.  [RC, PM, mq, S&D 126]
marrgi  	[marr-gi] adverb. carefully. Marrgi wardbiri galamandaya. Go carefully on the mud.. Category: speaking and thought.  [SL]
marriyali  	[marri-yali] nominal. man's mother-in-law/womans son-in-law.  [wb] Category: relations.
marriyalilangoo  	[marriyali-langoo] nominal. a woman and her son- in-law, or a man and his mother- in-law.
marriyaliwa  	[marri-yali-wa] nominal. her son-in-law[woman] his mother-in-law[man]. Category: relations.
marriyaliwadi  	[marriyali-wadi] nominal. your son-in-law {woman}/your mother-in-law {man}. Category: relations.
marriyaliyarrangi  	[marri-yali-yarra-ngi] nominal. our son-law/our mother-in-law. Category: relations.
marroora  	[marr-oora] nominal. Leichhardt pine. Nauclea orientalis. Good shade tree. Fruit are eaten when brown and soft.  The timber is used to make spearthrower and rafts. Category: trees.  [wb, B&B 174, Mimbi species list]
marroowa  	[marr-oowa] nominal. eastern blue-tongued lizard. Tiliqua scincoides. Category: lizards.  [JS, SL, Reptiles and Amphibians 391, GW]
mawili  	nominal. a young female freshwater crocodile. Category: water animals.  [wb]
mawilyi  	[ma-wilyi] nominal. children, kids.  [wk, mq]
mawoornda  	[ma-woornda] nominal. cousin's  husband/wife. ngirndaji goornboo ngarragi mawoornda. this woman is my cousin-in-law. Category: relations.
mawoorndalangoo  	[mawoorn-da-langoo] nominal. cousin and his/her cousin-law. Category: relations.
mawoorndawa  	[ma-woornda-wa] nominal. his/her cousin-in-law. ngirndaji yoowooloo mawoorndawa niyajiyoo goornboo. this man is cousin-in-law to that woman. Category: relations.
mawoorndawadi  	[mawoorn-da-wadi] nominal. your cousin -in-law,  husband or wife's cousin. Category: relations.
mawoorndayarrangi  	[ma-woornda-yarrangi] nominal. our cousin's husband/wife. Category: relations.
mawoorroo  	[ma-woorroo] nominal. plains bloodwood. Eucalyptus terminalis. A shade tree.  Good firewood. Source of sugarbag and bush coconuts. Red sap is mixed with water and drunk to treat colds and influenza.  It can be used to treat toothache and as a fish poison. Category: trees.  [RC-Mimbi species list, Plants of the Kimberley 201]
mawooya  	[ma-woo-ya] nominal. whiteman's poison. Tharrangga ngabili maa mawooyangarrangi. The dog ate the poisoned meat. Category: impact and violence.  [TC]
mayabiny  	[maya-binyi] nominal. right arm. barndi mayabinyi yirrilyngiri. my right arm is paining. Category: body parts and products.
mayan  	[ma-yan] verb. feel around, especially in the dark,  to feel around for mussel in the water. Category: motion.
mayara  	nominal. teenage boy, circumcised adolescent, initiate. Category: people, culture.  [mq,wb]
mayarda  	nominal. pelican. Pelecanus conspicullatus. Used to be eaten. Category: birds.  [TC, mq]
mayarri  	[ma-yarri] nominal. weak, clumsy, awkward. Mayarri warangngiri thithi gima wardngi, I'm weak from a long walk, Category: describers.  [RC]
-mi  	 Category: suffixes.  [TC, DS]
miga  	particle. like this, this way. Category: Language.  [FGG152]
migawaarra  	[miga-waa-rra] nominal. always, forever. Category: describers.
migi  	nominal. ant. Note: general term for all ants Category: insects and spiders.  [SL, wb]
migithiwa  	[migi-thiwa] nominal. red ant. Category: insects and spiders.
mijmij  	nominal. spotted harrier. Circus assimilis. Category: birds.  [MS, Field guide to birds of WA 114]
mila-  	verb. look. Nganyingga milarla gawi gambaya. I saw a fish in the water. Category: actions.  [FGG 321]
-mili  	suffix. characterised by, typically doing. Niyaji yoowooloo thirrimili yanga. That man is very cheeky. Category: suffixes.  [TC, DS, FGG 604]
mililinggoorr  	[mililing-goorr] nominal. wattle sp. Acacia pyrifolia. Note: photo on file Category: plants.  [RC, Plants of the Kimberley 120]
milinyin  	[mili-nyin] nominal. type of bamboo. Bambusa arnhemica. Category: plants.  [RC]
miliwi  	nominal. type of spinifex. This grass exudes a strong smelling wax, used in making spears. Miliwi ngaragbirra wirrinyi. They used to make windbreaks from spinifex. Category: plants.  [MS, JD]
miljarndi  	[mil-jarndi] nominal. fingernail, toenail claw. Category: body parts and products.
miljimilji  	[milji-milji] nominal. scrubby paperbark. Melaleuca bracteata. This small tree has dense shade, the papery-bark occurs in small sheets. Note: Found near Eight Mile. Category: trees.  [RC, Glen Whiteman and Flora of the Kimberley]
miljirdawoorroo  	[miljirda-woorroo] nominal. rain storm that comes from the south. Associated with the jawandi skin group, and is connected to a Gooniyandi rain song. Category: elements.  [SL]
milyilyi  	[mi-lyi-lyi] nominal. brain,   idea,  thought. Category: body parts and products.  [wk, mq]
milyingarna  	[milyi-ngarna] nominal. flying ants,  rubbish one insect. Category: insects and spiders.  [GW]
min.ga  	[min-ga] nominal. bullock fat or any animal fat. Maa niyaji min.ga ngarri That meat is so fatty. See: garrirndi. Category: animals.
min.ga.ngarri  	[min-ga-ngarri] nominal. fatty (of meat). Category: describers.  [wb]
min.ga.yana  	[min-ga-yana] nominal. sweet, good, Manyi goordida mingayana yanga The fruit from the bush orange is so sweet. Category: describers.  [SL, RC]
min.giri.ya-  	[min-giri-ya] ambivalent verb. dodge. Yoowooloo yoowarningga jirnali wajbarrinhi yaanya yoo, nhi mingirmi. One man threw a spear at another man, he dodged it. Category: actions.  [SL]
minaji  	[mina-ji] nominal. echidna, spiny anteater, (Kriol) porcupine. Tachyglossus aculeatus. Can be eaten. Category: animals.  [wk, TC, NS, mq, Mimbi species list]
minarla  	nominal. Sacred Ibis, other names; White Ibis, Black-necked Ibis  Sickle-bird. Threskiornis aethiopica. Category: birds.  [SC, RC, TC, S&D 74]
mindi  	[min-di] nominal. dry season burrow of frogs. Category: frogs.
mindi  	nominal. dry season burrow of  goanna. Wawanyi bagiyi mindiya ngalangalaya rirringgi. The goanna was lying in a dry season burrow in the side of a steep bank. Category: lizards.  [TC]
mingalgi  	[ming-algi] nominal. smoky box tree. Eucalyptus pruinosa. Source of sugarbag.  Used as firewood. Category: trees.  [Glenn Wightman]
mingayoorroo  	[minga-yoorroo] nominal. bountiful,  plenty,  abundant. Category: describers.
minggirladi  	[minggirl-adi] nominal. tata lizard. Lophognathus longirostris. Category: lizards.  [JS, wb]
minthiwili  	[minthi-wili] nominal.  A big shady tree;  often grows in rocky areas and along the creeks. Celtis philippensis. Category: trees.  [NS, Glenn Whiteman]
minygoorloo  	[miny-goorloo] nominal. unclean smell, filthy, dirty. Category: bodily functions.  [TC]
minyjirra  	[miny-jirra] particle. true,  honest. Category: Language.  [FGG 166]
minyjirran-  	ambivalent verb. believe. Goornbooga minyjirran jinginhi yoowoolooyoo, goowajngani  gawi garndoowa goorroolaya. The woman believed in the man who said there were lots of fish in the billabong. Category: actions.  [TC]
minyjoowoo  	[miny-joo-woo] nominal. tooth. Category: body parts and products.  [wk, mq]
minyminy  	[miny-miny] nominal. crimson chat. Epthianura tricolor. Category: people.  [RC, SL, S&D 208]
minyoo  	[mi-nyoo] nominal. pollencake found in sugarbag. Found in sugarbag on top of the honey.  Larval bees are found embedded in it and they feed on it. The pollencake is edible but not the Larval bee. Category: bush food.  [PM]
mirali  	nomnal. hip. See: branggarr. Category: body parts and products.  [mq]
mird-  	ambivalent verb. tie up anything. Category: actions.  [McGregor table A]
miriligbi  	[miri-ligbi] nominal. poor fellow, poor thing. Category: motion.
mirlaloowa  	[mirla-loowa] nominal. scorpion. Category: insects and spiders.  [wb]
mirli2  	[mir-li] nominal. 1 • liver. Category: body parts and products.
2 • to trick someone. mirlingindi riwiyirra barnggoo. you trick me into coming back to camp. Category: describers.
mirlijarrja  	[mirli-jarrja] nominal. grief. Yaningi warangngiri mirlijarrja yanga, marlami loondoo ngarragiyoo joogoo. I am in a state of deep grief right now because I lost my child. Category: people.  [TC, SL]
mirnaloogoo  	[mirna-loogoo] adverb. this way, towards here. Category: space.  [TC]
mirndidi  	[mirn-didi] nominal. dry, brittle. Category: describers.  [JD]
mirndiwoorloo  	[mirndi-woorloo] nominal. burnt out. Category: describers.
mirra  	nominal. head. Category: body parts and products.  [wk, FGG 360, mq]
mirrag  	[mirr-ag] sit down. Category: old language.
mirri  	nomnal. sun. Category: elements.  [mq]
mirrib  	monovalent verb. duck downe. Wawanyi mirribbani baboorroo gilirniya. The goanna lay very low in the grass. Category: posture.  [MS, TC]
mirringarririnyi  	[mirri-ngarri-rinyi] nominal. dawn, daybreak. Mirringarririnyi mirri doorlooggoowaari. It is dawn the sun is rising up. Category: time.
mirriyindi  	[mirri-yindi] nominal. rainbow, seen in trhe clouds during the rainy season. Category: elements.  [mq]
mirrngi  	[mirr-ngi] nominal. face. Mirrngi yoowarniya warnggoorrooyoo garndiwiirri boogayoorroo. The faces of those two kids look alike. Category: body parts and products.  [wb]
miyadi  	[mi-yadi] nominal. burnt grass area. Goornbooyarndi wardbirri roowa moowoowirra wawanyiyoo miyadiya. The women went hunting looking for goanna in the burnt grass area. Category: old language.
miyooroo  	[mi-yooroo] nominal. boil. myooroo boorlthoog bindi ngarragi. my boil burst. Category: bodily functions.  [wb]
mood  	bivalent verb. step on. Tharrangga moodnga loomoogoo gilirniya. The dog stepped on a blue tongue lizard in the grass. Category: impact and violence.  [TC, DS]
moodoo  	[moo-doo] nominal. pimple, cicatrice, ceremonial scarring. Category: culture.  [wb, mq]
moodooroo  	[moodoo-roo] nominal. island. Category: Land.  [SL]
moogoomoogoo  	[moogoo-moogoo] monovalent verb. spring   (of weather)  spring weather. Girngali marlami  moogoomoogoowindi. no wind, it became calm. Category: elements.  [TC, DS]
moogoorloo  	[moo-goorloo] nominal. seeds (speargrass). Stick into clothes and clog car radiators. Category: plants.  [JS, Glenn Whiteman]
moolngoonyoo  	[moolngoo-nyoo] nominal. odour,scent, strong smell. Moolngoonyoo gawi nhingi waabangiri. I smell of fish. Category: bodily functions.  [TC, JD]
moondoorr-  	bivalent verb. take. Nginyjigami moondoorrya niyaji joogoo riwiyirra? Did you take that kid back to camp? Category: holding and transfer.  [TC, DS]
moonga  	[moo-nga] nominal. dark, night. Category: time.  [LC, JD]
moongayayoo  	[moongaya-yoo] adverb. tomorrow morning. Ngaarri bijawarni ngarragi moongayayoo. My money will arrive tomorrow.  [FGG 155]
moonggoorroongoo  	[moong-goo-rroo-ngoo] nominal. knee. Category: body parts and products.
moonggoowarla2  	[moonggoo-warla] adverb. 1 • winter mild season. Yaningi moonggoowarla girlinggoowaya, marlami maadi. Todays cold weather, is male season,  not so cold. Category: time.
2 • winter cold season. Yaninyi moonggoowarla ngamariya maadiyanga Todays cold weather is female very cold. Milder cold weather is male and very cold weather is female.  [wk, JS]
moongoorr-  	[moo-ngoorr] ambivalent verb. withhold. Goornbooga moongoorrminhi ngaarri yoowooloonhingi. The woman withheld the money from the man. Category: holding and transfer.  [TC, DS]
moorda  	particle. not true, lie. Niyaji gambayi moorda jiyaggiri. That boy is telling lies. Category: describers.  [FGG 166]
moorla-  	monovalent verb. cooked. manyi briyali moorlawindi the conkerberry fruit has ripen. Category: describers.  [SLb]
moorlba2  	[moorl-ba] adverb. clearly seen.
1 •  Yoowooloo yoowarni moorlba wardji maa doowoowarninga yaanya nhingi riwi. One man was clearly seen going into other people's houses getting meat.
2 • together. Moorlba nyali wardba. Take him with you.  [FGG 165]
moorlgoorroo  	[moorl-goorroo] nominal. wattle sp. Acacia monticola. Witchetty grubs are found in the roots. Category: trees.  [RC, TC, Glenn Whiteman, Mt Pierre trip, photo on file]
moorlngarri  	[moorl-ngarri] nominal. fire stick. Category: cooking and fire.
moorloo2  	nominal. 1 • eye. Category: body parts and products.  [wk]
2 • entrance to native bee nest. Category: insects and spiders.  [wk]
moorloodoo  	[moorloo-doo] nominal. northern sandalwood. Santalum lanceolatum. Bark and roots are boiled and the liquid used as a wash to treat skin infections. Category: trees.  [SL, Glenn Whiteman]
moorloothamarda  	[moorloo-thamarda] nominal. blind eye. Category: describers.  [wk, wb, LC]
moornayiga  	[moorna-yiga] nominal. ant eggs. Found piled up in termite mounds and hollow logs. They are edible. Category: insects and spiders.  [PM]
moorndoog  	[moorn-doog] bivalent verb. keep secret, withhold information. Marlngarringga moorndoogbina yoowoolooyarndi ngaarriyoo. The white man didn't tell the people about their money. Category: speaking and thought.  [TC]
moorndooroo  	[moorn-doo-roo] nominal. jump-up, ridge, hill. Category: describers.  [MS, SL]
moornoony  	[moorn-oony] nominal. having sex. Category: people.
moorooloo  	[moo-roo-loo] nominal. tears. nganyingga moorooloo boordlarri thanymili lambardi ngardawaya. I shed tears when I heard the little kid crying. Category: bodily functions.  [SL, TC]
moorroo  	[moo-rroo] nominal. backwards. Gambayi lambardi grarryi moorroo. The litle boy was crawling backwards. Category: describers.
moorroob  	[moo-rroob] bivalent verb. burn, scorch. Yoowoolooyarndi malwarlangga thinga moorroobbina. The hot sand scorched the men's feet. Category: people.  [SL]
moowoo  	[moo-woo] bivalent verb. look for, seek, search. Ngoorndooga moowooyi ngarragi? Who was looking for me?. Category: motion.  [McGregor]
moowooloo  	[moo-woo-loo] nominal. forehead. Category: body parts and products.  [JD]
moowoorroo  	[moo-woo-rroo] nominal. fighting stick. Ngoorndooga ngaragmi ngirndaji moowoorroo? Who made this fighting stick? . Category: artifacts.  [wk]
mooyoo  	[moo-yoo] nominal. asleep. Mooyoomi bagiri niyaji booga? Is that child asleep?
N  -  n
Nawa  	nominal. waterhole on the Margaret river on Fossil Down Staion. Category: Placenames and Country.  [JD]
Ngalalaywa  	[Ngala-laywa] nominal. spring water on GoGo Staion. Category: Placenames and Country.  [TC]
Ngalangala  	[Ngala-ngala] nominal. water hole on  the Christmas Creek river on Larrawa Station. Category: Placenames and Country.  [TC]
Ngalinggaji  	[Ngaling-gaji] nominal. Ngalingkadji Community on Christmas Creek Station. Category: Placenames and Country.  [RC,TC]
Ngamboongi  	[Ngamboo-ngi] nominal. place on Go Go Station. Category: Placenames and Country.
Nganthananyngarri  	[ngantha-nany-ngarri] nominal. creek running into Margaret River  on Fossil Downs station. Category: Placenames and Country.  [JD]
Ngarnanga  	[Ngarn-an-ga] nominal. waterhole on the O'Donnel River on Magaret River Station. Ngarnanga gamba Yoodooya. Ngarnanga waterhole is on Margaret River Station. Category: Placenames and Country.
Ngila  	adverb. East. Garndoowa yoowooloo warangbirri ngila. A lot of people were living in the East. Category: directions.
Ngilanggoo  	[Ngilang-goo] adverb. Eastward, towards the East. Note: meaning linked to Wlmajari Dicttionary kakarra. Category: directions.
Ngilanggoongarri  	[Ngilanggoo-ngarri] adverb. facing eastward. Note: meaning linked to Walmajarri dictionary kakarrarajarti Category: space.  [wb]
Ngilmangi  	[Ngilma-ngi] adverb. from the East. mirri doorlooggoowari ngilmangi. the sun is rising from the East. Category: directions.
Ngilmi  	[Ngil-mi] adverb. Eastern side. ngarradi riwi ngilmi. my camp is on the Eastern side. Category: directions.
Ngilmibinyi  	[Ngilmi-binyi] adverb. lying along the Eastern side. gaali bagiri ngilmibinyi warlibirriya. the road is on the Eastern side of the river... Note: meaning linked to Walmajarri Dictionary kakarrampal Category: directions.
Ngirnali  	[Ngirn-ali] adverb. from the South. miljirdawoorroo yiwirndi wardgiri ngirnali. rain storm miljirdawoorro is coming from the south.. Category: directions.
Ngirrinyi2  	[Ngirri-nyi] nominal. 1 • increase site for flies near Looma Gorge Mt Pierre Station. Category: Placenames and Country.
2 • fly. Category: insects and spiders.  [SL]
Ngiwawoo  	[Ngi-wa-woo] adverb. Southward. nganyi wardjawingi ngiwawoo. I'm going away to the south. Category: directions.
Ngiwawoongarri  	[Ngi-wa-woo-ngarri] adverb. Southwards, facing towards the South. niyaji nyamani ngaarri waranggiri ngiwawoongarri. that big rock is facing towards the South. Category: directions.
Ngiwayi  	[Ngi-wa-yi] adverb. Southern side. yamadi wardji ngiwayi gaalibinyi. the car went on the South along the road. Category: directions.
Ngiwayibinyi  	[Ngi-wa-yi-binyi] adverb. lying along the Southside. wawanyi wardji ngiwayibinyi warlibirriya. the goanna was walking on the South side of the river,. Category: directions.
Ngiyi  	[Ngi-yi] adverb. South, in the Sourh. ngarragi marni waranggiri ngiyi yaanyaya riwi. my sister lives South in another country. Category: directions.
Ngooji2  	[ngoo-ji] nominal. 1 • waterhole on the Christmas Creek river on Christmas Creek Station. Category: Placenames and Country.
2 • small bush  fruit tree. Breynia cernua; Phyllanthus reticulatus. A bushy tree growing along the river and creek beds. It has small purplish black fruit, available after the wet season. Category: bush food.  [wb, Glenn Whightman]
Ngooloodoo  	[Ngooloo-doo] nominal. waterhole on Loiusa Downs Station. Category: Placenames and Country.
Ngooloomarra2  	[Ngooloo-marra] nominal. 1 • soakwater, upstream from  old low level Mary River crossing  on Margaret River station. Category: Placenames and Country.  [JD, MS]
2 • little black cormorant. Phalacrocorax sulcirostris. Category: birds.  [S&D, SL, RC]
Ngoombarn  	[Ngoom-barn] nominal. spring water on Christmas Creek station. Category: Placenames and Country.  [RC]
Ngoongoobarn  	[Ngoo-ngoo-barn] nominal. water hole on the Fitzroy river on GoGo Station where the GoGo creek enters the Fitzroy River.. Category: Placenames and Country.  [TC]
Ngooyaga  	[Ngooya-ga] nominal. water hole on the Christmas Creek river on Larrawa station. Category: Placenames and Country.  [TC]
Nhirrimi  	[Nhirri-mi] nominal. hill to the west of Mount Ball. Category: Placenames and Country.  [RC, TC]
Nyarlawari  	[Nyarla-wari] nominal. spring water on  Long's well on  Mt Pierre Station. Category: Placenames and Country.  [TC]
Nyarlinggi  	[Nyarling-gi] nominal. waterhole on Louisa Downs station. Category: Placenames and Country.  [MS]
Nyarniwa  	[Nyarni-wa] nominal. Topper Yard on Mt Pierre Station. Category: Placenames and Country.  [RC, TC]
Nyarri  	nominal. place on Fossil Downs Station. Category: Placenames and Country.  [BC]
Nyoowajoowa  	[Nyoowa-joowa] nominal. Hills behind Pillara Mines on the way to the river. Category: Placenames and Country.  [TC]
naaga  	nominal. male pubic cover, made from material. Category: artifacts.
nagarra  	[na-garra] nominal. a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.  [wb]
nambiyindi  	[nambi-yindi] nominal. a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.  [wk, wb]
namboorroo  	[nam-boorroo] nominal. big toe, thumb. Category: body parts and products.  [wk]
namoorl  	[na-moorl] bivalent verb. swallow. Tharrangga namoorlyingi maa mawoowangarri. The dog swallowed a poisned meat. See: ngiyig. Category: bodily functions.
nang  	monovalent verb. die. Tharra mawooya nhingi nangbani The dog died from poison. Category: bodily functions.  [TC, DS]
nangala2  	[nanga-la] nominal. 1 • a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.  [SL JL]
2 • ornate burrowing frog. Limnodynastes ornatus. has the nangala skin. Category: frogs.  [Reptiles and Amphibians 77]
nangga  	[nang-ga] monovalent verb. black soil plain pitted by rain. Banda nangga nanggayi  yiwindi nhingi. The ground was pitted by the rain. Occurs in black soil country after  heavy rain. Category: Land.  [SL, FGG 39]
nanggardi  	[nang-gardi] nominal. a skin group, female subdivision of one of the eight subsections into which Gooniyandi society is divided. Category: skin groups.
nanggid  	[nang-gid] verb. miss (target). thirrwi nyagjilarni,  nanggidlimi. I wanted to spear that hill kangaroo, but I missed it. Category: actions.  [TC, DS]
nanggooraj  	[nang-goo-raj] verb. limp. Barndanyi nanggoorajgarra wardji, thinga mimingarri The old woman was limping when she was walking , she had sore foot. Category: actions.  [TC]
